question,text,question_clean
When was the coronation of Elizabeth as Queen?,2 June 1953,coronationelizabethqueen
What is an article that is carried rather than worn that isn't regarded as clothing?,purses,articlecarriedratherwornisntregardedclothing
What legal system did the actor use after filing DMCA petitions?,Federal Court of Canada,legalsystemactorusefilingdmcapetition
What was  the Soviet Union suffering from in the 1980's?,severe economic stagnation,sovietunionsuffering1980s
What the average for the amount of  turkeys are consumed in the U.S on Thanksgiving Day?,60 million birds in the United States,averageamountturkeyconsumeduthanksgivingday
Who was the garrison commander that died on June 30th 1855?,Admiral Nakhimov,garrisoncommanderdiedjune30th1855
Who filed a lawsuit over Survivor?,Luckett and Roberson,filedlawsuitsurvivor
What clubs have missed the competition? ,"Manchester United did not enter the 1999–2000 FA Cup,",clubmissedcompetition
What grain is a staple for residents in the interior of Guinea-Bissau?,millet,grainstapleresidentinteriorguineabissau
What could happen to Olympic sports participants who showed a Tibetan flag at events?,could be expelled,couldhappenolympicsportparticipantshowedtibetanflagevent
What did American Idols first winner sing at the Lincoln Memorial in 2002? ,the national anthem,americanidolfirstwinnersinglincolnmemorial2002
Until what year did some minorities need to lie about religion or not get mandatory state issued ID?,2008,yearminorityneedliereligiongetmandatorystateissuedid
Where was Napoleon put under house arrest?,Nice,napoleonputhousearrest
During what period did the African civil war last?,1989 to 1996,periodafricancivilwarlast
What is the main winding on a squirrel cage motor capable of withstanding?,a rotational motion on the rotor,mainwindingsquirrelcagemotorcapablewithstanding
In what form do some viruses store their entire genome?,in the form of RNA,formvirusstoreentiregenome
Who did the Manchus make an Ally with to seize control of Beijing?,former Ming general Wu Sangui,manchumakeallyseizecontrolbeijing
What was the name of the Pact of August 1939?,Molotov-Ribbentrop Pact,namepactaugust1939
In what year did Napoleon and Czar Alexander first meet?,1807,yearnapoleonczaralexanderfirstmeet
What refers to the conviction that all believers are capable of experiencing God's love?,Mysticism,refersconvictionbelievercapableexperiencinggodlove
Having quotas regarding admissions or employment has been criticized and said to be what kind of discrimination?,reverse,quotaregardingadmissionemploymentcriticizedsaidkinddiscrimination
What nation lost the Hundred Years' War?,England,nationlosthundredyearwar
The annexation of what two regions resulted in large groups of Muslim refugees coming into the empire?,the Crimean and Balkan regions,annexationtworegionresultedlargegroupmuslimrefugeecomingempire
What plant grows in the rocky areas of the range?,Edelweiss,plantgrowsrockyarearange
What stupa is close to the National Museum?,Swayambhunath,stupaclosenationalmuseum
Which church did the 9 founders of Northwestern affiliate the university with?,Methodist Episcopal,church9foundernorthwesternaffiliateuniversity
What is kushaya ematsambo used for?,to determine the cause of the sickness,kushayaematsamboused
Who had taken control of London when Henry III was to be crowned?,French prince Louis,takencontrollondonhenryiiicrowned
"Until he was deposed, who was the leader of Italy?",Mussolini,deposedleaderitaly
"Along with smiling and frowning, what is an example of a facial or body movement caused by emotion?",baring teeth,alongsmilingfrowningexamplefacialbodymovementcausedemotion
What neighborhood of Richmond contains St. John's Church?,Church Hill,neighborhoodrichmondcontainsstjohnchurch
In 2007 the University of the Republic had a student body of how many people?,"81,774",2007universityrepublicstudentbodymanypeople
What is database storage?,physical materialization of a database,databasestorage
Which resonances are less populated in the Kuiper belt?,"3:4, 3:5, 4:7 and 2:5",resonancelesspopulatedkuiperbelt
How many groups do these languages belong to?,six groups,manygrouplanguagebelong
Who discovered the first synthetic dye?,William Henry Perkin,discoveredfirstsyntheticdye
"Along with Italian and Spanish, what language could Swedish Interlingua learners translate?",Portuguese,alongitalianspanishlanguagecouldswedishinterlingualearnertranslate
How many years after world war I did world war II start?,20 years later.,manyyearworldwarworldwariistart
What year did Michael Dell bring in Lee Walker to the company?,1986,yearmichaeldellbringleewalkercompany
Which model of iPod combined the headphone jack and data port?,Shuffle,modelipodcombinedheadphonejackdataport
What sort of response does the stimulus cause?,physiological,sortresponsestimuluscause
At what age does coming out to one's peers occur on average?,16,agecomingonepeeroccuraverage
When is the beggining of the whale migration season?,December,begginingwhalemigrationseason
The Boston Public Library is located in what part of Boston?,the Back Bay,bostonpubliclibrarylocatedpartboston
